id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;鳥羽の火祭り（鳥羽神明社）;とばのひまつり;folk;愛知県;西尾市;34.801270;137.101974;愛知県西尾市鳥羽町西迫89;本祭2月第2日曜（新暦）。国指定重要無形民俗、すずみ（高さ5mの大松明）に点火する火祭。火の粉と煙、防寒・耐火装備推奨;https://www.aichi-now.jp/spots/detail/176/;採用
;花祭り（東栄町本郷ほか）;はなまつり;folk;愛知県;北設楽郡東栄町;35.073624;137.654800;愛知県北設楽郡東栄町月61-2;本祭11〜3月（新暦・集落ごと異なる）。国指定重要無形民俗、霜月神楽系の徹夜舞、見学は集落により受入条件あり;https://www.town.toei.aichi.jp/hanamatsuri/;採用
;谷汲山華厳寺（西国三十三所結願霊場）;たにぐみさんけごんじ;folk;岐阜県;揖斐郡揖斐川町;35.526878;136.620285;岐阜県揖斐郡揖斐川町谷汲徳積23;西国三十三所第33番結願寺。本祭5/18谷汲踊り（県指定無形民俗）。参道徒歩、駐車場有料;https://kegonji.or.jp/;採用
;安弘見神社 杵振り祭（蛭川）;あびろみじんじゃ きねふりまつり;folk;岐阜県;中津川市;35.523643;137.383011;岐阜県中津川市蛭川5263-1;本祭4月第2日曜（新暦）。花笠と杵振り踊り、県指定無形民俗。集落内行列、駐車場限定;https://kankou-nakatsugawa.jp/spot/post-220/;採用
;郡上八幡 宗祇水（白山信仰の湧水）;ぐじょうはちまん そうぎすい;folk;岐阜県;郡上市;35.750309;136.956573;岐阜県郡上市八幡町本町;名水百選第1号、連歌師宗祇ゆかりの湧水。本祭7/16〜9月初旬の郡上おどり期と同期。生水につき飲用は自己判断;https://www.gujohachiman.com/kanko/sougi.htm;採用
;滝沢の放歌踊り;たきざわのほうかおどり;folk;静岡県;静岡市;34.975185;138.383286;静岡県静岡市葵区滝沢;本祭8/15盆（新暦）。市指定無形民俗、念仏踊り系の盆供養、山間集落の参道狭く駐車制限;https://www.city.shizuoka.lg.jp/449_000049.html;採用
;大井神社 帯祭（島田大祭）;おおいじんじゃ おびまつり;folk;静岡県;島田市;34.834599;138.170883;静岡県島田市大井町8-2;本祭10月中旬（3年に1度・新暦、次回2025年済→2028年）。大奴の太刀と帯渡しが見どころ、国指定重要無形民俗;https://www.oojinjya.org/;採用
;三熊野神社大祭（遠州横須賀祢里）;みくまのじんじゃたいさい;folk;静岡県;掛川市;34.684006;137.984131;静岡県掛川市西大渕5631-1;本祭4月第1金土日（新暦）。江戸天下祭形式の祢里（ねり）13台が町を巡行、県指定無形民俗;https://www.mikumano.com/;採用
;秋葉山本宮秋葉神社 火祭り;あきはさんほんぐうあきはじんじゃ ひまつり;folk;静岡県;浜松市;34.953369;137.881699;静岡県浜松市天竜区春野町領家841;本祭12/15-16（新暦）。火防の総本宮、弓・剣・火の三舞。山頂までの参道は冬季凍結注意、上社は標高866m;https://www.akihasanhongu.jp/;採用
;須山浅間神社（富士山須山口登山道起点）;すやませんげんじんじゃ;folk;静岡県;裾野市;35.278183;138.782913;静岡県裾野市須山722;ヤマトタケル創祀伝承、富士山世界文化遺産構成資産。樹齢500年の杉並木、本祭4/3例大祭;https://suyamasengen.jp/;採用
