id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;陽夫多神社 願之山行事;やぶたじんじゃ がんのやまぎょうじ;folk;三重県;伊賀市;34.825436;136.173492;三重県伊賀市馬場951;本祭8月1日（祇園祭・願之山行事は新暦）。子供奉納舞は神社境内、参道狭く路上駐車注意;https://www.bunka.pref.mie.lg.jp/Miebunka/detail?cls=cult_col01&pkey=0000001032;採用
;赤崎神社 赤崎祭り;あかさきじんじゃ あかさきまつり;folk;三重県;鳥羽市;34.471523;136.844177;三重県鳥羽市鳥羽5丁目2;本祭6月22日（新暦）。外宮末社、ゆかたまつりとも呼ばれる夏の風物詩;https://www.iseshima-kanko.jp/spot/1615;採用
;佐田西出 天王さんのお社塔;さたにしで てんのうさんのおやしろとう;folk;三重県;多気郡明和町;34.563709;136.625793;三重県多気郡明和町佐田;本祭7月14日（新暦）。麦ワラと竹で毎年つくる手作りの祠、町指定無形民俗;https://www.bunka.pref.mie.lg.jp/Miebunka/detail?cls=cult_col01&pkey=0000003122;採用
;植木神社祇園祭;うえきじんじゃぎおんさい;folk;三重県;伊賀市;34.762669;136.213120;三重県伊賀市平田699;本祭7月最終土日（新暦）。くねり御輿・祇園花奪い、県指定無形民俗;https://www.igaueno.net/?p=1280;採用
;かます祭（島勝浦の三番叟）;かますまつり;folk;三重県;北牟婁郡紀北町;34.110683;136.292297;三重県北牟婁郡紀北町島勝浦;本祭2月11日（新暦）。カマス大漁伝説に由来する三番叟と神楽;https://kinan-tabi.jp/?p=2543;採用
;種蒔き権兵衛祭（宝泉寺）;たねまきごんべえまつり;folk;三重県;北牟婁郡紀北町;34.114395;136.185577;三重県北牟婁郡紀北町便ノ山;本祭春分の日（新暦）。権兵衛踊り・神楽舞、宝泉寺境内、駐車場あり;https://www.town.mie-kihoku.lg.jp/kankou/spot/gonbei.html;採用
;紀北町長島 船だんじり;ふなだんじり;folk;三重県;北牟婁郡紀北町;34.201496;136.323761;三重県北牟婁郡紀北町長島;本祭1月中旬（新暦）。鰹船型の大漁祈願山車、海岸沿いを巡行;https://www.town.mie-kihoku.lg.jp/kankou/event/funa-danjiri.html;採用
;池村のしめ縄掛け替え;いけむらのしめなわかけかえ;folk;三重県;多気郡明和町;34.513313;136.605347;三重県多気郡明和町池村;本祭9月1日朔日（新暦）。辻切り系の村境結界、町指定無形民俗;https://www.bunka.pref.mie.lg.jp/Miebunka/detail?cls=cult_col01&pkey=0000003123;採用
;波切神社 鯨石;なきりじんじゃ くじらいし;folk;三重県;志摩市;34.278004;136.899246;三重県志摩市大王町波切1;捕鯨の祟り信仰、境内自由。崖縁ではないが付近の大王崎は強風時注意;https://www.kankomie.or.jp/spot/887;採用
;加佐登神社（白鳥塚古墳・ヤマトタケル墓伝承）;かさどじんじゃ;folk;三重県;鈴鹿市;34.901623;136.522079;三重県鈴鹿市加佐登町2010;ヤマトタケル白鳥伝説伝承地、能褒野陵に対する民間伝承地。神社駐車場あり、古墳は徒歩圏;https://kasado.com/;採用
