id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;あらい祭 大宮神社;あらいまつり おおみやじんじゃ;weird;千葉県;山武郡芝山町;35.6890;140.4150;千葉県山武郡芝山町山田1441;160年以上続く奇祭。毎年12月14日のみ開催で子どもが宮司に大根を投げる。神社境内は常時参拝可。鳥居がないのが特徴。祭当日の見学は自治体窓口（芝山町まちづくり課0479-77-3918）に事前連絡推奨。;https://www.chibanippo.co.jp/siteseeing/2015/12/290030;採用
;洲崎神社 みのこ踊り;すのさきじんじゃ みのこおどり;folk;千葉県;館山市;34.9870;139.7700;千葉県館山市洲崎1697;弥勒信仰由来の珍しい踊り神事。神社は常時参拝可で安全。みのこ踊りは8月の例祭で奉納。;https://omaturilink.com/%E5%8D%83%E8%91%89%E7%9C%8C/;保留
;太田山神社;おおたさんじんじゃ;mystery;北海道;久遠郡せたな町;42.4540;139.8500;北海道久遠郡せたな町大成区太田17;★重要：日本一参拝が危険とされる神社。本殿は標高485m断崖上。一の鳥居から本殿まで徒歩60分超・最後は鎖場と直立7m梯子。装備・体力・天候判断必須。単独行不可推奨。一の鳥居までは車道あり、そこまでは安全。サイト掲載時は登拝危険性を強調必須。;https://hokkaidofan.com/taisei-ootasan/;保留
;伊予豆比古命神社 椿まつり;いよずひこのみことじんじゃ つばきまつり;folk;愛媛県;松山市;33.8170;132.7720;愛媛県松山市居相2-2-1;通称「椿神社」。県社別表神社で常時参拝可。椿まつりは旧暦1月7-9日に開催され「お椿さん」として地元に親しまれる縁起市。50万人規模の参拝者で安全管理体制あり。;https://ja.wikipedia.org/wiki/%E4%BC%8A%E4%BA%88%E8%B1%86%E6%AF%94%E5%8F%A4%E5%91%BD%E7%A5%9E%E7%A4%BE;採用
;枯松神社;かれまつじんじゃ;folk;長崎県;長崎市;32.7300;129.7800;長崎県長崎市下黒崎町;隠れキリシタンの聖地。日本でも稀なキリシタン関連神社。サン・ジワン神父を祀り、毎年11月第3日曜に枯松神社祭でオラショ（祈祷文）奉納。境内常時参拝可だが山道アクセス。徒歩区間あり。;https://www.at-nagasaki.jp/spot/1097;採用
;カステラ神社;カステラじんじゃ;bkyu;長崎県;長崎市;32.7390;129.8650;長崎県長崎市南山手町9（もみの木コア内）;観光施設「もみの木コア」内のミニ神社。9:00-17:30営業時間内のみ参拝可。完全に商業施設内の擬似神社だが、長崎名物カステラを神格化したB級スポットの好例。安全。;https://highcollardive.com/chinspot/castella_shrine/;採用
;閼伽井嶽薬師 人形供養祭;あかいだけやくし にんぎょうくようさい;folk;福島県;いわき市;37.0480;140.7820;福島県いわき市赤井字赤井嶽1（常福寺）;古刹「常福寺」境内で年1回（5月最終日曜）開催。人形を焚き上げる供養祭。事前申込制で参拝者は安全に見学可。常福寺は通常時も拝観可、平安期創建の古刹。;https://www.konomare.com/event/ningyoukuyousai/;採用
;山の神祭り 清水地区;やまのかみまつり きよみずちく;folk;山口県;岩国市;34.0270;132.1900;山口県岩国市由宇町清水;5年に一度の鎌倉期記録奇祭。県指定無形民俗文化財。山間集落12世帯のみで継承、御神木に鯛と餅を投げ合う神事。次回開催年は集落に要確認。観客の見学は可だが集落の祭事尊重必須。;https://www.nippon-matsuri.net/report/yamanokami/;保留
;水海の田楽能舞 鵜甘神社;みずうみのでんがくのうまい うかんじんじゃ;folk;福井県;今立郡池田町;35.8930;136.4180;福井県今立郡池田町水海52-20（鵜甘神社）;国指定重要無形民俗文化財。毎年2月15日13:00-17:00に鵜甘神社で奉納。鎌倉期由来の田楽と能の合体。雪深い山間地のため2月の参拝は冬装備必須。神社自体は常時参拝可。;https://dearfukui.jp/sightseeing/6549;採用
;お正月様（年徳神像）きりこ祭り;おしょうがつさま としとくじんぞう きりこまつり;folk;宮城県;大崎市;38.7080;140.6520;宮城県大崎市岩出山;宮城独自の正月文化「お正月様」（年徳神像の切り紙細工）の伝統行事。大崎市岩出山で「きりこ祭り」として継承。地元の長老が奉製した御神像を頒布する。詳細日程は岩出山観光協会に要確認。一般見学可だが商業観光化されていないため節度ある訪問が必要。;https://local-culture.jp/miyagi-prefecture-exploring-the-origin-and-history-of-japans-unique-folk-culture-new-years-paper-cutting/;保留
