id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;若葉祭（うなごうじ祭）;わかばさい（うなごうじまつり）;weird;愛知県;豊川市;34.8330;137.4090;愛知県豊川市牛久保町常盤164（牛久保八幡社）;天下の奇祭の一つ。本祭は毎年4月7日～8日に近い土・日曜（2026年は4/11-12予定）。行列最後部の「やんよう神」と呼ばれる男衆が酒に酔ったように路上に寝転がる姿が蛆虫のようと「うなごうじ」と呼ばれる。市街地巡行のため沿道見物。山車の引き回しは混雑注意。;https://www.toyokawa-map.net/event/000069.html;採用
;千国諏訪神社例祭 ささらすり;ちくにすわじんじゃれいさい ささらすり;folk;長野県;北安曇郡小谷村;36.7608;137.8972;長野県北安曇郡小谷村大字千国乙3435（千国諏訪神社）;獅子とささら師のおどけた踊りがユニークな別名「ささらすり」。本祭は毎年9月第2土・日曜（2026年は9/12-13予定）。初日19時頃から宵宮、ささらすりは翌日13時過ぎから。仮面芸能として貴重。中山間地のため夜間運転注意・公共交通は本数僅少。;http://blog.livedoor.jp/sarutahikomen/archives/80003136.html;採用
;榊祭り;さかきまつり;fire;長野県;佐久市;36.2370;138.4470;長野県佐久市望月263（大伴神社）;佐久市指定無形民俗文化財。本祭は毎年8月15日（盆）。火を点した松明を持って急坂を駆け下りる勇壮な火祭り。中世から続く「火祭り＋川流し」の珍しい形式。火の粉と転倒に注意、近距離見物は避けること。;https://www.sakukankou.jp/event/705/;採用
;小鹿田焼 唐臼祭;おんたやき からうすまつり;folk;大分県;日田市;33.3940;130.9970;大分県日田市源栄町皿山（小鹿田焼の里）;1705年開窯、一子相伝で受け継がれる小鹿田焼の年に一度の祭。本祭は毎年5月3日～4日。10軒の窯元が窯出ししたばかりの器を軒先で展示即売、唐臼の音が谷に響く里全体が祭場。山間部のため当日リムジンバスを推奨、駐車場混雑必至。;https://www.city.hita.oita.jp/uploaded/attachment/1407.pdf;採用
;勝田の獅子舞;かつたのししまい;animal;千葉県;八千代市;35.7220;140.0980;千葉県八千代市勝田572（駒形神社・円福寺）;江戸期から続く五穀豊穣・雨水害除けの郷土芸能。本祭は毎年9月第1日曜（旧行9月1日）。10:30頃から円福寺で「半シバ」を舞い、駒形神社へ行道して残り半シバを舞う。県指定無形民俗文化財。神事のため動線を妨げないこと。;http://fshima.my.coocan.jp/gallery/ycy01.html;採用
;大縣神社 姫の宮 豊年祭;おおあがたじんじゃ ひめのみや ほうねんさい;sex;愛知県;犬山市;35.3590;136.9710;愛知県犬山市字宮山3（大縣神社）;田縣神社の対となる女性器をご神体とする豊年祭。本祭は毎年3月15日より前の日曜（パレードは12:00頃出発、10:00～16:30）。巨大な女性器神輿が街を巡行。性のタブーを超えた信仰の祭でメディア露出も多いが撮影マナー厳守、混雑必至。;http://ooagata.urdr.weblife.me/pg249.html;採用
;那須御神火祭;なすごしんかさい;fire;栃木県;那須郡那須町;37.1240;139.9740;栃木県那須郡那須町湯本（史跡殺生石）;九尾の狐伝説に由来する火祭り。本祭は毎年5月31日14:30〜20:00。松明行列と御神火点火（19:30頃）がクライマックス。九尾の狐太鼓、フェイスペイントなども併催。上高地で防寒装備推奨、臨時駐車場からシャトルバス利用。;https://www.tochigiji.or.jp/event/e15774/;採用
;野木神社 御帰社祭（提灯もみ祭り）;のぎじんじゃ ごきしゃさい（ちょうちんもみまつり）;weird;栃木県;下都賀郡野木町;36.2330;139.7060;栃木県下都賀郡野木町野木2404（野木神社）;奇祭と呼ばれる御帰社祭り。本祭は毎年12月3日。提灯を激しく揉み合い火を消し合う「提灯もみ」が特徴。混雑時の提灯接触に注意、防寒装備推奨。;http://nogi-kankou.com/festival.html;保留
;石上げ祭（犬山祭の前段神事）;いしあげまつり;weird;愛知県;犬山市;35.3960;136.9460;愛知県犬山市犬山北古券（針綱神社・本宮山）;尾張三大奇祭の一つ。本祭は毎年8月第1日曜（2026年は8/2予定）。針綱神社御旅所の本宮山頂上に大石を引き上げる神事。重さ100kg超の石を綱で引き上げ祭神に奉納する勇壮な行事。坂道での落石・転倒注意、子連れは下山時に手をつなぐこと。;https://ja.wikipedia.org/wiki/%E5%A5%87%E7%A5%AD;保留
;悪口まつり（あくたいまつり）;あくたいまつり;weird;栃木県;足利市;36.3520;139.4680;栃木県足利市大岩町570（大岩山毘沙門天 大岩山多聞院最勝寺）;趣旨として「どんな悪口を言っても許される」伝統行事。本祭は毎年12月31日大晦日。悪口大声コンクールは22:00受付・22:30開始（旧サンフィールド駐車場）、提灯行列は23:00出発。個人名は避ける、防寒装備、夜間山道注意。;https://www.ashikaga-kankou.jp/event/akutai_matsuri;採用
