id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;やよい天狗;やよいてんぐ;巨大天狗面・商店街珍スポット;大分県;別府市;33.277999;131.503362;大分県別府市北浜1丁目1-21;商店街の公開通路から見学。車道や店舗の営業動線を妨げず・天狗面・神輿に触れない。夜間は周辺店舗の案内に従う。;https://highcollardive.com/chinspot/yayoitengu/;採用
;大迫牛乳店（巨大牛乳パック）;おおさこぎゅうにゅうてん（きょだいぎゅうにゅうぱっく）;牛乳パック型建物;広島県;三次市;34.764692;132.964317;広島県三次市三良坂町三良坂673-3;公道から外観のみ見学。店舗・住宅敷地への無断立入や路上駐車は禁止し・営業中は店の案内を優先する。;https://highcollardive.com/chinspot/big-milkpack/;採用
;鴨江ヴンダーカンマー;かもえゔんだーかんまー;怪奇骨董秘宝館・私設館;静岡県;浜松市中央区;34.704124;137.720220;静岡県浜松市中央区鴨江4丁目1-14 開発ビル2階;開館時間・休館日を公式サイトで確認。ビル共用部と館内の案内に従い・展示物に触れず・予約・入館条件を守る。;https://wunderkammer.jp/;採用
;小原洞窟恐竜ランド＆極楽洞;こばらどうくつきょうりゅうらんどあんどごくらくどう;洞窟恐竜・地獄極楽ジオラマ;和歌山県;伊都郡かつらぎ町;34.161954;135.518154;和歌山県伊都郡かつらぎ町花園梁瀬1020;公開時間・季節休館を確認し・洞窟内では足元・湿気・照明に注意。立入禁止箇所や展示物に触れず・係員の指示に従う。;https://www.wakayama-kanko.or.jp/spots/detail_1014.html;採用
;松浦一酒造（河伯のミイラ）;まつうらいちしゅぞう（かはくのミイラ）;河童ミイラ・観光酒蔵;佐賀県;伊万里市;33.295717;129.824255;佐賀県伊万里市山代町楠久312;酒蔵の公開範囲と見学案内に従う。試飲後の運転は禁止し・展示ケース・酒造設備には触れない。;http://www.matsuuraichi.com/matsuuraichi-yurai.html;採用
;不思議博物館;ふしぎはくぶつかん;私設カオス博物館;福岡県;那珂川市;33.485710;130.401229;福岡県那珂川市西畑1466-2;毎月第2日曜12:00〜18:00の開館日を公式サイトで確認。開館日以外は敷地に入らず・山道・駐車場では周囲に注意する。;https://bu9t-sm.wixsite.com/html;採用
;シゲチャンランド;しげちゃんらんど;私設スクラップアート・野外オブジェ群;北海道;網走郡津別町;43.528426;143.985295;北海道網走郡津別町字相生256;5月初旬〜10月下旬の公開期間・開館日を公式情報で確認。敷地内の指定通路を歩き・作品・私有物に触れず・冬季休館中は入らない。;https://shigechanland.com/;採用
;お宝屋敷おおとよ;おたからやしきおおとよ;私設昭和コレクション館;高知県;長岡郡大豊町;33.783544;133.696571;高知県長岡郡大豊町穴内2304;不定休のため開館状況を事前確認。古民家内の公開範囲のみ見学し・展示物に触れず・建物周辺の私有地へ入らない。;https://otoyo-kankou.com/spot/culture/otoyo-treasure-house/;採用
;魂生大明神;こんせいだいみょうじん;巨大男根・性神信仰;千葉県;印旛郡栄町;35.840428;140.237908;千葉県印旛郡栄町安食3620 大鷲神社境内;昼間の参拝時間に境内の公開範囲から見学。御神体や奉納物に触れず・神社の静粛と案内を守り・祭礼時は係員に従う。;https://chiba.jinja.love/?p=36765;採用
;木花開耶姫神社（雲仙）;このはなさくやひめじんじゃ（うんぜん）;巨大男根・女陰造形・性神信仰;長崎県;雲仙市;32.740522;130.258325;長崎県雲仙市小浜町雲仙 原生沼付近;原生沼付近の公開参道から日中に見学。山道・湿地では足元と天候に注意し・参道外へ入らず・石造物に触れない。;https://lightbluefashionista.com/konohanasakuyahime;採用
